Code,IATA_Found
1Z8,0
AAA,0
AAE,1
AAH,0
AAL,1
AAO,0
AAR,1
ABA,1
ABD,1
ABI,1
ABJ,1
ABM,0
ABQ,1
ABS,0
ABT,1
ABV,0
ABX,1
ABZ,1
ACA,1
ACC,1
ACE,1
ACH,0
ACK,1
ACT,1
ACY,1
ADA,1
ADB,0
ADD,1
ADH,1
ADJ,1
ADK,1
ADL,1
ADM,1
ADQ,1
ADW,1
ADX,1
ADZ,1
AEH,1
AEP,1
AER,1
AES,1
AEX,1
AEY,1
AFA,1
AFL,1
AFY,0
AGA,0
AGB,1
AGF,1
AGH,1
AGP,1
AGQ,1
AGR,0
AGS,1
AGU,1
AGV,1
AGX,0
AGZ,0
AHB,1
AHO,1
AHU,0
AIG,0
AIN,0
AIT,0
AJA,0
AJL,0
AJN,0
AJO,0
AJR,1
AJU,1
AJY,1
AKD,0
AKF,0
AKJ,1
AKL,1
AKN,1
AKR,0
AKT,1
AKX,1
AKY,0
ALA,0
ALB,1
ALC,1
ALF,1
ALG,1
ALI,1
ALJ,0
ALL,0
ALP,0
ALR,0
ALY,0
AMA,1
AMB,1
AMD,1
AMI,0
AMM,0
AMQ,1
AMS,1
ANB,1
ANC,1
AND,1
ANF,1
ANG,1
ANK,1
ANM,0
ANN,1
ANR,1
ANS,1
ANU,1
ANX,1
AOC,0
AOJ,1
AOK,1
AOL,1
AOO,1
AOR,1
APB,0
APG,0
APL,1
APW,1
AQA,1
AQI,0
AQJ,1
AQP,1
ARA,0
ARI,0
ARK,1
ARN,1
ART,1
ARU,0
ARW,1
ASB,1
ASD,1
ASF,1
ASJ,1
ASK,1
ASP,0
ASR,1
ASU,1
ASW,1
ATA,0
ATF,0
ATI,0
ATL,1
ATM,1
ATQ,1
ATR,1
AUA,0
AUC,1
AUF,0
AUG,0
AUH,1
AUR,1
AUS,0
AVB,0
AVI,0
AVN,1
AVV,1
AWZ,1
AXA,1
AXD,1
AXM,1
AXP,0
AXR,0
AXT,1
AYP,1
AYT,1
AZD,1
AZI,0
AZR,1
BAB,1
BAD,0
BAG,1
BAH,1
BAK,0
BAL,1
BAQ,0
BAU,1
BAX,0
BAY,0
BBA,1
BBI,0
BBJ,0
BBK,1
BBO,0
BBS,1
BBT,1
BBU,1
BBY,0
BCA,0
BCD,0
BCM,1
BCN,1
BCT,1
BDE,1
BDH,1
BDJ,0
BDL,1
BDM,1
BDN,1
