Conditions,DateUTC,Dew PointC,Events,Gust SpeedKm/h,Humidity,Precipitationmm,Sea Level PressurehPa,TemperatureC,TimeAKDT,TimeAKST,TimeBST,TimeGMT,VisibilityKm,Wind Direction,Wind SpeedKm/h,WindDirDegrees
Fog,2016-12-06 00:20:00,3.0,Fog,-,100,N/A,1026,3.0,,,,12:20 AM,0.1,East,7.4,100
Fog,2016-12-06 00:50:00,3.0,Fog,-,93,N/A,1026,4.0,,,,12:50 AM,0.1,ENE,7.4,70
Fog,2016-12-06 01:20:00,3.0,Fog,-,100,N/A,1026,3.0,,,,1:20 AM,0.1,ENE,5.6,60
Fog,2016-12-06 01:50:00,3.0,Fog,-,100,N/A,1026,3.0,,,,1:50 AM,0.0,North,5.6,10
Fog,2016-12-06 02:20:00,3.0,Fog,-,100,N/A,1026,3.0,,,,2:20 AM,0.1,Variable,5.6,0
Fog,2016-12-06 02:50:00,3.0,Fog,-,100,N/A,1027,3.0,,,,2:50 AM,0.1,East,9.3,100
Fog,2016-12-06 03:20:00,3.0,Fog,-,100,N/A,1027,3.0,,,,3:20 AM,0.4,Variable,5.6,0
Scattered Clouds,2016-12-06 03:50:00,3.0,,-,93,N/A,1027,4.0,,,,3:50 AM,1.3,NE,5.6,40
Scattered Clouds,2016-12-06 04:20:00,3.0,,-,100,N/A,1027,3.0,,,,4:20 AM,1.5,North,3.7,360
Overcast,2016-12-06 04:50:00,3.0,,-,93,N/A,1026,4.0,,,,4:50 AM,2.1,ENE,7.4,70
Overcast,2016-12-06 05:20:00,4.0,,-,100,N/A,1026,4.0,,,,5:20 AM,1.9,ENE,7.4,60
Overcast,2016-12-06 05:50:00,4.0,,-,100,N/A,1026,4.0,,,,5:50 AM,2.2,ESE,9.3,110
Mostly Cloudy,2016-12-06 06:20:00,4.0,,-,100,N/A,1026,4.0,,,,6:20 AM,2.7,ENE,9.3,60
Overcast,2016-12-06 06:50:00,4.0,,-,100,N/A,1026,4.0,,,,6:50 AM,1.9,NE,7.4,50
Mostly Cloudy,2016-12-06 07:20:00,4.0,,-,93,N/A,1027,5.0,,,,7:20 AM,1.6,East,7.4,80
Mostly Cloudy,2016-12-06 07:50:00,4.0,,-,93,N/A,1027,5.0,,,,7:50 AM,1.8,NNE,5.6,30
Scattered Clouds,2016-12-06 08:20:00,4.0,,-,100,N/A,1027,4.0,,,,8:20 AM,1.7,ENE,9.3,70
Partly Cloudy,2016-12-06 08:50:00,4.0,,-,100,N/A,1027,4.0,,,,8:50 AM,1.6,Variable,3.7,0
Partly Cloudy,2016-12-06 09:20:00,5.0,,-,100,N/A,1028,5.0,,,,9:20 AM,2.4,North,3.7,10
Mist,2016-12-06 09:50:00,5.0,,-,100,N/A,1028,5.0,,,,9:50 AM,2.7,Variable,1.9,0
Partly Cloudy,2016-12-06 10:20:00,5.0,,-,93,N/A,1028,6.0,,,,10:20 AM,3.0,NNW,3.7,340
Mist,2016-12-06 10:50:00,6.0,,-,100,N/A,1028,6.0,,,,10:50 AM,3.0,Calm,Calm,0
Haze,2016-12-06 11:20:00,6.0,,-,93,N/A,1028,7.0,,,,11:20 AM,2.7,East,1.9,90
Haze,2016-12-06 11:50:00,7.0,,-,93,N/A,1027,8.0,,,,11:50 AM,3.5,East,5.6,90
Haze,2016-12-06 12:20:00,6.0,,-,87,N/A,1027,8.0,,,,12:20 PM,-9999.0,ENE,3.7,70
Haze,2016-12-06 12:50:00,7.0,,-,87,N/A,1027,9.0,,,,12:50 PM,4.5,Variable,1.9,0
Haze,2016-12-06 13:20:00,7.0,,-,87,N/A,1027,9.0,,,,1:20 PM,5.0,NNE,5.6,20
Haze,2016-12-06 13:50:00,7.0,,-,87,N/A,1027,9.0,,,,1:50 PM,5.0,North,5.6,350
Haze,2016-12-06 14:20:00,8.0,,-,87,N/A,1027,10.0,,,,2:20 PM,5.0,NE,1.9,50
Haze,2016-12-06 14:50:00,8.0,,-,87,N/A,1027,10.0,,,,2:50 PM,-9999.0,East,3.7,80
Haze,2016-12-06 15:20:00,8.0,,-,93,N/A,1027,9.0,,,,3:20 PM,3.5,East,3.7,80
Haze,2016-12-06 15:50:00,8.0,,-,87,N/A,1027,10.0,,,,3:50 PM,3.5,NNW,3.7,340
Haze,2016-12-06 16:20:00,9.0,,-,94,N/A,1027,10.0,,,,4:20 PM,-9999.0,East,9.3,100
