station,startDateTimeUTC
EGLC,2016-12-06 19:46:00+00:00
EGLC,2016-12-17 15:01:00+00:00
EGLC,2016-12-19 19:46:00+00:00
EGLC,2016-12-27 15:01:00+00:00
EGLC,2016-11-29 19:46:00+00:00
EGUW,2016-11-05 15:01:00+00:00
EGLC,2016-11-19 15:01:00+00:00
EGWU,2016-11-22 19:46:00+00:00
EGLL,2016-11-01 19:46:00+00:00
EGLC,2016-11-12 15:01:00+00:00
EGHI,2016-11-26 15:01:00+00:00
CLF,2016-10-29 15:01:00+01:00
EGLC,2016-10-25 19:46:00+01:00
EGLC,2016-10-22 15:01:00+01:00
EGLC,2016-10-18 19:46:00+01:00
CLF,2016-10-04 19:46:00+01:00
EGLC,2016-10-15 15:01:00+01:00
EGLC,2016-10-01 15:01:00+01:00
EGLC,2016-10-08 15:01:00+01:00
EGLC,2016-09-27 19:46:00+01:00
EGLC,2016-09-17 15:01:00+01:00
EGLC,2016-09-24 15:01:00+01:00
EGLC,2016-09-13 19:46:00+01:00
EGKA,2016-09-03 15:01:00+01:00
EGLC,2016-09-10 15:01:00+01:00
EGLL,2016-09-20 19:46:00+01:00
EGLC,2016-08-27 15:01:00+01:00
EGWU,2016-08-29 15:01:00+01:00
EGSX,2016-08-23 19:46:00+01:00
EGLC,2016-08-20 15:01:00+01:00
EGUW,2016-08-13 15:01:00+01:00
EGLC,2016-08-16 19:46:00+01:00
EGKB,2016-08-05 19:46:00+01:00
EGKB,2016-08-02 19:46:00+01:00
EGLL,2016-07-30 15:01:00+01:00
EGLC,2016-07-26 19:46:00+01:00
EGLC,2016-07-23 15:01:00+01:00
EGLC,2016-07-19 19:46:00+01:00
EGLC,2016-07-14 19:46:00+01:00
EGKA,2016-07-16 15:01:00+01:00
EGLC,2016-07-12 19:46:00+01:00
EGLC,2016-07-09 12:01:00+01:00
EGLC,2016-05-08 14:01:00+01:00
EGLC,2016-05-07 15:01:00+01:00
EGMC,2016-05-02 15:01:00+01:00
EGKA,2016-04-28 19:46:00+01:00
EGUW,2016-04-23 15:01:00+01:00
EGSX,2016-04-12 19:46:00+01:00
EGLC,2016-04-16 15:01:00+01:00
EGSH,2016-04-09 15:01:00+01:00
EGLC,2016-04-02 15:01:00+01:00
EGLC,2016-03-28 15:01:00+01:00
EGKB,2016-03-22 19:46:00+00:00
EGLC,2016-03-26 15:01:00+00:00
EGLC,2016-03-19 15:01:00+00:00
EGLC,2016-03-15 19:46:00+00:00
EGLC,2016-03-09 19:46:00+00:00
EGSX,2016-03-12 15:01:00+00:00
EGLC,2016-03-05 15:01:00+00:00
EGLC,2016-02-08 19:46:00+00:00
EGLC,2016-02-27 15:01:00+00:00
EGLC,2016-02-23 19:46:00+00:00
EGKA,2016-02-10 19:46:00+00:00
EGLC,2016-02-13 15:01:00+00:00
EGLL,2016-02-02 19:46:00+00:00
EGLC,2016-02-06 15:01:00+00:00
EGLC,2016-01-30 15:01:00+00:00
EGMC,2016-01-23 15:01:00+00:00
EGLC,2016-01-16 15:01:00+00:00
EGKB,2016-01-02 15:01:00+00:00
EGLC,2016-01-09 15:01:00+00:00
EGLL,2015-12-22 19:46:00+00:00
EGUL,2015-12-12 15:01:00+00:00
EGLC,2015-12-26 15:01:00+00:00
EGLC,2015-12-15 19:46:00+00:00
EGLC,2015-12-19 15:01:00+00:00
EGLC,2015-12-05 15:01:00+00:00
EGLC,2015-12-01 19:46:00+00:00
EGLC,2015-11-28 15:01:00+00:00
EGWU,2015-11-24 19:46:00+00:00
EGLC,2015-11-14 15:01:00+00:00
EGLC,2015-11-03 19:46:00+00:00
EGKA,2015-11-21 15:01:00+00:00
EGLC,2015-11-07 15:01:00+00:00
EGWU,2015-10-31 15:01:00+00:00
EGLC,2015-10-13 19:46:00+01:00
EGLC,2015-10-27 19:46:00+00:00
EGLL,2015-10-20 19:46:00+01:00
EGLC,2015-10-06 19:46:00+01:00
EGLF,2015-10-10 15:01:00+01:00
EGLC,2015-10-24 15:01:00+01:00
EGLC,2015-10-17 15:01:00+01:00
EGLC,2015-10-03 15:01:00+01:00
EGKA,2015-09-26 15:01:00+01:00
EGLL,2015-09-12 15:01:00+01:00
EGLL,2015-09-29 19:46:00+01:00
EGLC,2015-09-19 15:01:00+01:00
EGLC,2015-09-22 19:46:00+01:00
EGLC,2015-09-08 19:46:00+01:00
EGLC,2015-09-05 15:01:00+01:00
EGLC,2015-08-29 15:01:00+01:00
EGLL,2015-08-31 15:01:00+01:00
EGLC,2015-08-01 13:01:00+01:00
EGLC,2015-08-18 19:46:00+01:00
EGLC,2015-08-26 19:46:00+01:00
EGWU,2015-08-15 15:01:00+01:00
EGLC,2015-08-11 19:46:00+01:00
EGLC,2015-08-08 15:01:00+01:00
EGLC,2015-08-22 15:01:00+01:00
EGKB,2015-07-25 15:01:00+01:00
EGLC,2015-07-28 19:46:00+01:00
EGKB,2015-07-30 19:46:00+01:00
EGKB,2015-07-16 19:31:00+01:00
EGLC,2015-07-18 15:01:00+01:00
EGLC,2015-07-21 19:46:00+01:00
EGLC,2015-07-11 18:01:00+01:00
EGLC,2015-07-14 19:46:00+01:00
EGLC,2015-07-08 19:46:00+01:00
EGLC,2015-05-10 14:01:00+01:00
EGMH,2015-05-14 19:46:00+01:00
EGLC,2015-04-25 15:01:00+01:00
EGLC,2015-04-18 15:01:00+01:00
EGLC,2015-04-06 15:01:00+01:00
EGWU,2015-04-11 15:01:00+01:00
EGLC,2015-04-04 15:01:00+01:00
EGKK,2015-03-11 19:31:00+00:00
EGLC,2015-03-10 19:31:00+00:00
EGLC,2015-03-28 13:01:00+00:00
EGLC,2015-03-21 15:01:00+00:00
EGSX,2015-03-14 15:01:00+00:00
EGLC,2015-03-07 15:01:00+00:00
EGLC,2015-02-24 19:31:00+00:00
EGKA,2015-02-28 15:01:00+00:00
EGLC,2015-02-21 15:01:00+00:00
EGLC,2015-02-11 19:31:00+00:00
EGKA,2015-02-18 19:46:00+00:00
EGLC,2015-02-07 15:01:00+00:00
EGUL,2015-02-14 15:01:00+00:00
EGLC,2015-01-31 15:01:00+00:00
EGLL,2015-01-24 15:01:00+00:00
EGLC,2015-01-27 19:46:00+00:00
EGLC,2015-01-10 15:01:00+00:00
EGMH,2015-01-17 15:01:00+00:00
EGLC,2015-01-13 19:46:00+00:00
EGLC,2015-01-01 15:01:00+00:00
EGLC,2014-12-09 19:46:00+00:00
EGLC,2014-12-20 15:01:00+00:00
EGLC,2014-12-02 19:46:00+00:00
EGLC,2014-12-06 15:01:00+00:00
EGLC,2014-11-29 15:01:00+00:00
EGMC,2014-11-25 19:46:00+00:00
EGWU,2014-11-22 15:01:00+00:00
EGLC,2014-11-19 19:46:00+00:00
EGLL,2014-11-15 15:01:00+00:00
EGLC,2014-11-09 13:01:00+00:00
EGMC,2014-11-12 19:46:00+00:00
EGLC,2014-11-01 15:01:00+00:00
EGLL,2014-10-18 15:01:00+01:00
EGLC,2014-10-25 15:01:00+01:00
EGLC,2014-10-07 19:46:00+01:00
EGLC,2014-10-14 19:46:00+01:00
EGLC,2014-10-11 15:01:00+01:00
EGLC,2014-10-04 15:01:00+01:00
EGLC,2014-09-23 19:46:00+01:00
EGLC,2014-09-13 15:01:00+01:00
EGLC,2014-09-30 19:46:00+01:00
EGLC,2014-09-16 19:46:00+01:00
EGLC,2014-09-20 15:01:00+01:00
EGLC,2014-09-10 19:46:00+01:00
EGLC,2014-09-06 15:01:00+01:00
EGLC,2014-09-02 19:46:00+01:00
EGSX,2014-08-30 15:01:00+01:00
EGLC,2014-08-25 15:01:00+01:00
EGLC,2014-08-23 15:01:00+01:00
EGLC,2014-08-19 19:46:00+01:00
EGKA,2014-08-02 15:01:00+01:00
EGLC,2014-08-05 19:46:00+01:00
EGKB,2014-08-04 19:31:00+01:00
EGSH,2014-08-16 15:01:00+01:00
EGLL,2014-08-11 19:46:00+01:00
EGLC,2014-08-09 15:01:00+01:00
EGKB,2014-07-30 19:46:00+01:00
EGLC,2014-07-29 19:46:00+01:00
EGKB,2014-07-26 15:01:00+01:00
EGKB,2014-07-24 19:31:00+01:00
EGKB,2014-07-14 19:01:00+01:00
EGLC,2014-07-12 15:01:00+01:00
EGLC,2014-07-15 19:46:00+01:00
EGLC,2014-04-26 15:01:00+01:00
EGLC,2014-04-01 19:46:00+01:00
EGLL,2014-04-21 15:01:00+01:00
EGSX,2014-04-12 15:08:00+01:00
EGLC,2014-04-05 15:01:00+01:00
EGLC,2014-04-19 15:01:00+01:00
EGLC,2014-03-22 15:01:00+00:00
EGWU,2014-03-29 15:01:00+00:00
EGSX,2014-03-25 19:46:00+00:00
EGMC,2014-03-15 15:01:00+00:00
EGLC,2014-03-08 15:01:00+00:00
EGLC,2014-03-04 19:46:00+00:00
EGKA,2014-03-01 15:01:00+00:00
EGKB,2014-02-25 19:46:00+00:00
EGLC,2014-02-18 19:46:00+00:00
EGLC,2014-02-22 15:01:00+00:00
EGLC,2014-02-11 19:46:00+00:00
EGLC,2014-02-15 15:01:00+00:00
EGMC,2014-02-04 19:46:00+00:00
EGLC,2014-01-25 15:01:00+00:00
EGMH,2014-01-21 19:46:00+00:00
EGLL,2014-01-12 15:01:00+00:00
EGLC,2014-01-18 15:01:00+00:00
EGSH,2014-01-07 19:46:00+00:00
CLF,2013-12-21 15:01:00+00:00
EGLC,2013-12-26 15:01:00+00:00
EGKB,2013-12-28 15:01:00+00:00
EGLC,2013-12-17 19:46:00+00:00
EGLC,2013-12-03 19:46:00+00:00
EGLC,2013-12-14 15:01:00+00:00
EGLC,2013-12-07 15:01:00+00:00
EGKB,2013-11-26 19:46:00+00:00
EGMC,2013-11-19 19:46:00+00:00
EGLC,2013-11-16 15:01:00+00:00
EGLC,2013-11-30 15:01:00+00:00
EGLC,2013-11-23 15:01:00+00:00
EGLC,2013-11-02 15:01:00+00:00
EGKA,2013-11-09 15:01:00+00:00
EGLC,2013-10-29 19:46:00+00:00
EGLC,2013-10-12 15:01:00+01:00
EGLC,2013-10-14 19:46:00+01:00
EGLC,2013-10-19 15:01:00+01:00
EGLC,2013-10-26 15:01:00+01:00
EGLC,2013-10-05 15:01:00+01:00
EGUL,2013-10-01 19:46:00+01:00
EGMH,2013-09-28 15:01:00+01:00
EGLC,2013-09-17 19:46:00+01:00
EGLC,2013-09-14 15:01:00+01:00
EGLC,2013-09-21 15:01:00+01:00
EGLC,2013-09-24 19:46:00+01:00
EGLC,2013-09-11 19:46:00+01:00
EGWU,2013-09-07 15:01:00+01:00
EGLC,2013-08-26 15:01:00+01:00
EGLC,2013-08-31 15:01:00+01:00
EGLC,2013-08-24 15:01:00+01:00
EGLL,2013-08-17 15:01:00+01:00
EGLC,2013-08-20 19:46:00+01:00
EGWU,2013-08-12 19:46:00+01:00
EGLC,2013-08-06 19:46:00+01:00
EGKB,2013-08-03 15:01:00+01:00
EGLC,2013-08-10 15:01:00+01:00
EGLC,2013-07-30 19:46:00+01:00
EGLC,2013-07-27 15:01:00+01:00
EGLC,2013-07-24 19:01:00+01:00
EGLC,2013-07-23 19:01:00+01:00
EGLL,2013-07-20 15:01:00+01:00
EGLL,2013-07-21 15:01:00+01:00
EGKB,2013-07-17 19:31:00+01:00
EGKB,2013-07-16 19:31:00+01:00
EGLC,2013-07-09 19:46:00+01:00
EGLC,2013-05-06 15:01:00+01:00
EGLC,2013-04-09 19:31:00+01:00
EGLC,2013-04-27 15:01:00+01:00
EGLC,2013-04-16 19:46:00+01:00
EGLC,2013-04-23 19:46:00+01:00
EGLC,2013-04-20 15:01:00+01:00
EGLC,2013-04-13 15:01:00+01:00
EGLC,2013-04-06 15:01:00+01:00
EGLC,2013-04-01 15:01:00+01:00
EGLC,2013-03-30 15:01:00+00:00
EGLC,2013-03-26 19:46:00+00:00
EGLC,2013-03-23 15:01:00+00:00
EGLC,2013-03-14 19:46:00+00:00
EGLC,2013-03-19 19:46:00+00:00
EGLC,2013-03-16 15:01:00+00:00
EGLC,2013-03-09 15:01:00+00:00
EGLC,2013-03-05 19:46:00+00:00
EGLC,2013-03-02 15:01:00+00:00
EGLC,2013-02-26 19:46:00+00:00
EGLC,2013-02-19 19:46:00+00:00
EGLC,2013-02-23 15:01:00+00:00
EGLC,2013-02-16 15:01:00+00:00
EGLC,2013-02-09 15:01:00+00:00
EGLC,2013-02-05 19:46:00+00:00
EGLC,2013-01-15 19:46:00+00:00
EGLC,2013-01-08 19:46:00+00:00
EGLC,2013-01-12 15:01:00+00:00
EGLC,2013-01-05 15:01:00+00:00
EGLC,2013-01-01 15:01:00+00:00
EGLC,2012-12-29 15:01:00+00:00
EGLC,2012-12-11 19:46:00+00:00
EGLC,2012-12-26 15:01:00+00:00
EGLC,2012-12-08 15:01:00+00:00
EGLC,2012-12-01 15:01:00+00:00
EGLC,2012-11-24 15:01:00+00:00
EGLC,2012-11-20 19:46:00+00:00
EGLC,2012-11-10 15:01:00+00:00
EGLC,2012-11-06 19:46:00+00:00
EGLC,2012-11-17 15:01:00+00:00
EGLC,2012-11-03 15:01:00+00:00
EGLC,2012-10-27 15:01:00+01:00
EGLC,2012-10-23 19:46:00+01:00
EGLC,2012-10-30 19:46:00+00:00
EGLC,2012-10-20 15:01:00+01:00
EGLC,2012-10-17 19:46:00+01:00
EGLC,2012-10-09 19:46:00+01:00
EGLC,2012-10-13 15:01:00+01:00
EGLC,2012-10-06 15:01:00+01:00
EGLC,2012-09-15 15:01:00+01:00
EGLC,2012-09-22 15:01:00+01:00
EGLC,2012-09-11 19:46:00+01:00
EGLC,2012-09-25 19:46:00+01:00
EGLC,2012-09-09 14:01:00+01:00
EGLC,2012-09-01 15:01:00+01:00
EGLC,2012-08-25 15:01:00+01:00
EGLC,2012-08-27 15:01:00+01:00
EGLC,2012-08-21 19:46:00+01:00
CLF,2012-08-11 15:01:00+01:00
EGLC,2012-08-18 15:01:00+01:00
EGLC,2012-08-05 14:01:00+01:00
EGLC,2012-07-31 15:01:00+01:00
EGLC,2012-07-28 15:01:00+01:00
EGLC,2012-07-21 15:01:00+01:00
EGLC,2012-07-24 19:46:00+01:00
EGLC,2012-07-25 19:46:00+01:00
EGLC,2012-06-25 19:46:00+01:00
EGLC,2012-04-28 00:01:00+01:00
EGLC,2012-04-14 00:01:00+01:00
EGLC,2012-04-21 00:01:00+01:00
EGLC,2012-04-07 00:01:00+01:00
EGLC,2012-03-31 00:01:00+01:00
EGLC,2012-03-13 19:46:00+00:00
EGLC,2012-03-24 00:01:00+00:00
EGLC,2012-03-17 00:01:00+00:00
EGLC,2012-03-10 00:01:00+00:00
EGLC,2012-03-03 00:01:00+00:00
EGLC,2012-02-28 19:46:00+00:00
EGLC,2012-02-25 00:01:00+00:00
EGLC,2012-02-21 19:46:00+00:00
EGLC,2012-02-18 00:01:00+00:00
EGLC,2012-02-11 00:01:00+00:00
EGLC,2012-01-21 00:01:00+00:00
EGLC,2012-01-28 00:01:00+00:00
EGLC,2012-01-14 00:01:00+00:00
EGLC,2012-01-07 00:01:00+00:00
EGLC,2012-01-02 00:01:00+00:00
EGLC,2011-12-31 00:01:00+00:00
EGLC,2011-12-17 00:01:00+00:00
EGLC,2011-12-10 00:01:00+00:00
EGLC,2011-12-03 00:01:00+00:00
EGLC,2011-11-29 19:46:00+00:00
