eUid,startDateTime,homeTeam,awayTeam,homeScore,awayScore,location,latitude,longitude,nAttendees,duration,competition,formation
1-2194296,2016-12-06T19:45:00+0000,Dulwich Hamlet,Staines Town,,,Dulwich Hamlet,,,,,The Ryman Football League - Premier Division,
1-2194343,2016-12-17T15:00:00+0000,Dulwich Hamlet,Tonbridge Angels,,,Dulwich Hamlet,,,,,The Ryman Football League - Premier Division,
1-2194264,2016-12-19T19:45:00+0000,Kingstonian,Dulwich Hamlet,,,Kingstonian,,,,,The Ryman Football League - Premier Division,
1-2194357,2016-12-27T15:00:00+0000,Grays Athletic,Dulwich Hamlet,,,Grays Athletic,,,,,The Ryman Football League - Premier Division,
1-2194308,2016-11-29T19:45:00+0000,Dulwich Hamlet,Metropolitan Police,3,3,Champion Hill Stadium,51.461170197,-0.08399,725.0,90.0,The Ryman Football League - Premier Division,
1-2194255,2016-11-05T15:00:00+0000,Needham Market,Dulwich Hamlet,1,1,Bloomfields,52.15058136,1.04554069,334.0,90.0,The Ryman Football League - Premier Division,4321
1-2194271,2016-11-19T15:00:00+0000,Dulwich Hamlet,Worthing,4,1,Champion Hill Stadium,51.461170197,-0.08399,2032.0,90.0,The Ryman Football League - Premier Division,352
1-2194285,2016-11-22T19:45:00+0000,Harrow Borough,Dulwich Hamlet,0,2,Earlsmead,51.557941437,-0.371820003,205.0,93.0,The Ryman Football League - Premier Division,352
1-2194181,2016-11-01T19:45:00+0000,Staines Town,Dulwich Hamlet,2,0,Wheatsheaf Park,51.419681549,-0.502080023,228.0,90.0,The Ryman Football League - Premier Division,4321
2-38853,2016-11-12T15:00:00+0000,Dulwich Hamlet,Chesham United,4,0,Champion Hill Stadium,51.461170197,-0.08399,716.0,91.0,The FA Trophy 16-17,
2-39201,2016-11-26T15:00:00+0000,Winchester City,Dulwich Hamlet,0,1,The Denplan City Ground,51.072029114,-1.309010148,319.0,91.0,The FA Trophy 16-17,4321
2-38112,2016-10-29T15:00:00+0100,Lowestoft Town,Dulwich Hamlet,1,2,"Crown Meadow, Lowestoft Town FC",52.480190277,1.74763,428.0,90.0,The FA Trophy 16-17,4321
2-37142,2016-10-25T19:45:00+0100,Greenwich Borough,Dulwich Hamlet,1,2,DGS Marine Stadium,51.450313568,0.034755599,213.0,90.0,The Alan Turvey Trophy sponsored by Robert Dyas 16-17,4321
1-2194235,2016-10-22T15:00:00+0100,Dulwich Hamlet,AFC Sudbury,2,0,Champion Hill Stadium,51.461170197,-0.08399,1683.0,90.0,The Ryman Football League - Premier Division,4321
1-2194224,2016-10-18T19:45:00+0100,Dulwich Hamlet,Harlow Town,3,1,Champion Hill Stadium,51.461170197,-0.08399,750.0,90.0,The Ryman Football League - Premier Division,
1-2194132,2016-10-04T19:45:00+0100,Lowestoft Town,Dulwich Hamlet,0,3,"Crown Meadow, Lowestoft Town FC",52.480190277,1.74763,413.0,90.0,The Ryman Football League - Premier Division,4321
1-2194216,2016-10-15T15:00:00+0100,Leatherhead,Dulwich Hamlet,2,2,Leatherhead Football Club,0.0,0.0,426.0,90.0,The Ryman Football League - Premier Division,
1-2194200,2016-10-01T15:00:00+0100,Enfield Town,Dulwich Hamlet,2,2,"Queen Elizabeth II Stadium, Enfield",51.659328461,-0.063840002,467.0,90.0,The Ryman Football League - Premier Division,4321
1-2194187,2016-10-08T15:00:00+0100,Dulwich Hamlet,Bognor Regis Town,1,3,Champion Hill Stadium,51.461170197,-0.08399,2217.0,90.0,The Ryman Football League - Premier Division,433
1-2194164,2016-09-27T19:45:00+0100,Dulwich Hamlet,Harrow Borough,1,4,Champion Hill Stadium,51.461170197,-0.08399,711.0,90.0,The Ryman Football League - Premier Division,4321
2-36812,2016-09-17T15:00:00+0100,Dulwich Hamlet,Hendon,0,2,Champion Hill Stadium,51.461170197,-0.08399,822.0,90.0,The Emirates FA Cup 16-17,433
