cUid,eUid,lpos,bpos
1651513,1-2194255,5.00,50
1702359,1-2194255,20.00,15
1702353,1-2194255,20.00,85
1702361,1-2194255,20.00,40
1469641,1-2194255,20.00,60
714676,1-2194255,60.00,15
1786101,1-2194255,60.00,85
1257380,1-2194255,40.00,35
1665097,1-2194255,40.00,65
1769065,1-2194255,60.00,50
1779867,1-2194255,80.00,50
1651513,1-2194271,5.00,50
1702361,1-2194271,20.00,70
1469641,1-2194271,20.00,50
1702353,1-2194271,20.00,30
714676,1-2194271,50.00,10
1786101,1-2194271,50.00,90
1665097,1-2194271,50.00,70
1702359,1-2194271,50.00,50
1257380,1-2194271,50.00,30
1779867,1-2194271,75.00,60
1720258,1-2194271,75.00,40
1651513,1-2194285,5.00,50
1702361,1-2194285,20.00,70
1469641,1-2194285,20.00,50
1702353,1-2194285,20.00,30
714676,1-2194285,50.00,10
1786101,1-2194285,50.00,90
1665097,1-2194285,50.00,70
1702359,1-2194285,50.00,50
1257380,1-2194285,50.00,30
1779867,1-2194285,75.00,60
1769065,1-2194285,75.00,40
1651513,1-2194181,5.00,50
1771521,1-2194181,20.00,15
1702353,1-2194181,20.00,85
1702361,1-2194181,20.00,40
1469641,1-2194181,20.00,60
714676,1-2194181,60.00,15
1786101,1-2194181,60.00,85
1257380,1-2194181,40.00,35
1665097,1-2194181,40.00,65
1720258,1-2194181,60.00,50
1779867,1-2194181,80.00,50
1651513,2-39201,5.00,50
1702359,2-39201,20.00,15
1702353,2-39201,20.00,85
1702361,2-39201,20.00,40
1469641,2-39201,20.00,60
1786101,2-39201,60.00,15
714676,2-39201,60.00,85
1702364,2-39201,40.00,35
1257380,2-39201,40.00,65
1769065,2-39201,60.00,50
830570,2-39201,80.00,50
1651513,2-38112,5.00,50
1771521,2-38112,20.00,15
1702353,2-38112,20.00,85
1702361,2-38112,20.00,40
1469641,2-38112,20.00,60
714676,2-38112,60.00,15
1786101,2-38112,60.00,85
1257380,2-38112,40.00,35
1665097,2-38112,40.00,65
1769065,2-38112,60.00,50
1779867,2-38112,80.00,50
1651513,2-37142,5.00,50
1702345,2-37142,20.00,15
1702353,2-37142,20.00,85
1771521,2-37142,20.00,40
1702359,2-37142,20.00,60
1715485,2-37142,60.00,15
1665413,2-37142,60.00,85
1665097,2-37142,40.00,35
1257380,2-37142,40.00,65
1720258,2-37142,60.00,50
830570,2-37142,80.00,50
1651513,1-2194235,5.00,50
1771521,1-2194235,20.00,15
1702353,1-2194235,20.00,85
1702361,1-2194235,20.00,40
1469641,1-2194235,20.00,60
714676,1-2194235,60.00,15
1769065,1-2194235,60.00,85
1665097,1-2194235,40.00,35
1257380,1-2194235,40.00,65
1720258,1-2194235,60.00,50
1779867,1-2194235,80.00,50
1651513,1-2194132,5.00,50
1702345,1-2194132,25.00,10
1702353,1-2194132,25.00,90
1702359,1-2194132,25.00,65
1469641,1-2194132,25.00,35
1665097,1-2194132,50.00,20
1257380,1-2194132,50.00,50
1715485,1-2194132,50.00,80
714676,1-2194132,70.00,35
1769065,1-2194132,70.00,65
830570,1-2194132,90.00,50
