eUid,minute,competitorName,description
1-2194308,23,Dumebi Dumaka,Goal 23:00'
1-2194308,23,Ibra Sekajja,Assist 23:00'
1-2194308,26,Nathan Green,Goal 26:00'
1-2194308,26,Ashley Carew,Assist 26:00'
1-2194308,39,Jake Reid,Goal 39:00'
1-2194308,39,Roman Michael-Percil,Assist 39:00'
1-2194308,59,Jake Reid,Goal 59:00'
1-2194308,61,Vas Karagiannis,Goal 61:00'
1-2194308,74,Mekhail McLaughlin,Sub Off 74:00'
1-2194308,74,Orlando Smith,Sub On 74:00'
1-2194308,77,Vas Karagiannis,Sub Off 77:00'
1-2194308,77,Gavin Tomlin,Sub On 77:00'
1-2194308,77,Dumebi Dumaka,Sub Off 77:00'
1-2194308,77,Daniel Carr,Sub On 77:00'
1-2194308,80,Olli Robinson,Sub Off 80:00'
1-2194308,80,Sam Williams,Sub On 80:00'
1-2194308,85,Jake Reid,Sub Off 85:00'
1-2194308,85,Dan Summers,Sub On 85:00'
1-2194308,89,Ibra Sekajja,Sub Off 89:00'
1-2194308,89,Ibrahim Kargbo,Sub On 89:00'
1-2194308,90,Roman Michael-Percil,Scored Penalty 90:00'
2-38853,24,Nyren Clunis,Assist 24:00'
1-2194255,62,Marc Weatherstone,Assist 62:00'
1-2194271,12,Will Hendon,Yellow Card 12:00'
1-2194271,30,Ashley Carew,Assist 30:00'
2-38853,24,Nathan Green,Goal 24:00'
2-38853,47,Vas Karagiannis,Assist 47:00'
2-38853,47,Dumebi Dumaka,Goal 47:00'
2-38853,64,Gavin Tomlin,Sub Off 64:00'
2-38853,64,Sanchez Ming,Sub On 64:00'
2-38853,64,Dumebi Dumaka,Sub Off 64:00'
1-2194255,62,Dumebi Dumaka,Goal 62:00'
1-2194255,69,Jack Curtis,Goal 69:00'
1-2194255,70,Vas Karagiannis,Sub Off 70:00'
1-2194255,70,Sanchez Ming,Sub On 70:00'
1-2194255,81,Dumebi Dumaka,Sub Off 81:00'
1-2194255,81,Daniel Carr,Sub On 81:00'
1-2194255,81,Ibra Sekajja,Sub Off 81:00'
1-2194255,81,Ibra Sekajja,Sub On 81:00'
1-2194255,82,Callum Harrison,Sub Off 82:00'
1-2194255,82,Ollie Fenn,Sub On 82:00'
1-2194255,85,Ollie Snaith,Sub Off 85:00'
1-2194255,85,Max Booth,Sub On 85:00'
1-2194255,90,Ashley Carew,Player of the Match 90:00'
1-2194271,30,Dumebi Dumaka,Goal 30:00'
1-2194271,45,Vas Karagiannis,Goal 45:00'
1-2194271,53,Marc Weatherstone,Goal 53:00'
1-2194271,53,Gavin Tomlin,Assist 53:00'
1-2194271,58,Michael Chambers,Yellow Card 58:00'
1-2194271,63,Vas Karagiannis,Sub Off 63:00'
1-2194271,63,Sanchez Ming,Sub On 63:00'
1-2194271,63,Dumebi Dumaka,Sub Off 63:00'
1-2194271,63,Daniel Carr,Sub On 63:00'
1-2194271,69,Zack Newton,Assist 69:00'
1-2194271,69,Omar Bugiel,Goal 69:00'
1-2194271,73,Ross Edwards,Sub On 73:00'
1-2194271,73,Brannon O'Neill,Sub Off 73:00'
1-2194271,73,Ibra Sekajja,Sub On 73:00'
1-2194271,73,Gavin Tomlin,Sub Off 73:00'
1-2194271,73,Kenny Beaney,Yellow Card 73:00'
1-2194271,77,Corey Heath,Yellow Card 77:00'
1-2194271,78,Ashley Carew,Goal 78:00'
1-2194271,83,Harvey Sparks,Sub Off 83:00'
1-2194271,83,Mike Waller,Sub On 83:00'
1-2194271,90,Ashley Carew,Player of the Match 90:00'
1-2194285,24,Kenny Beaney,Assist 24:00'
1-2194285,24,Ibra Sekajja,Goal 24:00'
1-2194285,28,Shaun Preddie,Sub Off 28:00'
1-2194285,28,Ibrahim Meite,Sub On 28:00'
1-2194285,47,Nyren Clunis,Assist 47:00'
1-2194285,47,Vas Karagiannis,Goal 47:00'
1-2194285,69,Mark McLeod,Sub Off 69:00'
1-2194285,69,Will Turl,Sub On 69:00'
1-2194181,8,Afolabi Coker,Yellow Card 8:00'
2-38853,64,Daniel Carr,Sub On 64:00'
2-38853,66,Ryan Blake,Sub Off 66:00'
2-38853,66,Stephan Hamilton-Forbes,Sub On 66:00'
2-38853,66,Adam Martin,Sub Off 66:00'
2-38853,66,Drew Roberts,Sub On 66:00'
2-38853,69,Vas Karagiannis,Goal 69:00'
2-38853,69,Vas Karagiannis,Sub Off 69:00'
2-38853,69,Ibra Sekajja,Sub On 69:00'
2-38853,71,Matt Taylor,Sub Off 71:00'
2-38853,71,Matt Taylor,Sub Off 71:00'
2-38853,71,Matt Taylor,Sub Off 71:00'
2-38853,71,Matt Taylor,Sub Off 71:00'
2-38853,71,Barry Hayles,Sub On 71:00'
2-38853,71,Matt Taylor,Yellow Card 71:00'
2-38853,90,Ashley Carew,Assist 90:00'
2-38853,90,Nyren Clunis,Goal 90:00'
2-38853,91,Kenny Beaney,Player of the Match 91:00'
2-38853,91,Brad Watkins,Player of the Match 91:00'
2-39201,20,Danny Smith,Yellow Card 20:00'
1-2194285,77,Vas Karagiannis,Sub Off 77:00'
1-2194285,77,Daniel Carr,Sub On 77:00'
1-2194285,77,Michael Bryant,Sub Off 77:00'
1-2194285,77,Francis Babalola,Sub On 77:00'
1-2194285,83,Dumebi Dumaka,Sub Off 83:00'
1-2194285,83,Gavin Tomlin,Sub On 83:00'
1-2194285,90,Ibra Sekajja,Sub Off 90:00'
1-2194285,90,Ibrahim Kargbo,Sub On 90:00'
1-2194285,93,Marc Weatherstone,Player of the Match 93:00'
1-2194181,19,Brandon Adams,Goal 19:00'
1-2194181,47,Brandon Adams,Goal 47:00'
1-2194181,59,Tommy Brewer,Sub Off 59:00'
